floor,total_area,living_area,kitchen_area,year,flat_status,flat_type,metro,metro_minutes,description,price
1,442.0,115.0,26.3,2003,1,Многокомнатны,"Черная речка, Чкаловская, Крестовский остров",6,"дом 2000-х годов в хорошем состоянии, просторная кухня-гостиная, первый этаж без балкона, рядом с метро, дом сдан, заезжай и живи",290000000
25,44.0,22.6,8.8,2024,0,2-комн,"Парнас, Проспект Просвещения, Озерки",5,"новый дом комфорт-класса, небольшая кухня, высокий этаж с видом на город, в шаговой доступности от метро, строящийся объект, сдача скоро, двухкомнатная квартира раздельные комнаты",10389465
2,203.8,109.0,33.7,2021,1,4-комн,"Крестовский остров, Чкаловская, Василеостровская",4,"новостройка с современной отделкой, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, четырёхкомнатная квартира премиум класса",78500000
3,150.0,48.0,50.0,2017,1,3-комн,"Чкаловская, Крестовский остров, Спортивная",22,"улучшенная планировка, просторная кухня-гостиная, уютный этаж в тихом доме, транспортная доступность на машине, дом сдан, заезжай и живи, трёшка с хорошей планировкой",96000000
5,91.0,42.0,20.0,2024,1,2-комн,"Василеостровская, Спортивная, Горный институт",8,"новостройка бизнес-класса, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, двухкомнатная квартира раздельные комнаты",28200000
11,35.0,15.0,9.7,2015,1,1-комн,"Парнас, Проспект Просвещения",4,"дом 2000-х годов в хорошем состоянии, небольшая кухня, высокий этаж с видом на город, в шаговой доступности от метро, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",7777000
4,208.0,83.4,53.8,1952,1,3-комн,"Площадь Восстания, Маяковская, Чернышевская",12,"историческое здание сталинской постройки, просторная кухня-гостиная, уютный этаж в тихом доме, транспортная доступность на машине, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",37900000
3,54.75,30.0,7.7,1986,1,2-комн,"Ленинский проспект, Автово, Проспект Ветеранов",8,"панельный дом хрущёвской эпохи, небольшая кухня, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, просторная двухкомнатная квартира",7700000
3,137.4,53.0,26.0,2017,1,3-комн,"Крестовский остров, Чкаловская, Василеостровская",6,"дом 2000-х годов в хорошем состоянии, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",160000000
14,81.5,51.7,14.5,2010,1,3-комн,"Ленинский проспект, Автово, Проспект Ветеранов",10,"современный монолитный дом, кухня хорошей площади, высокий этаж с видом на город, рядом с метро, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",11600000
1,50.82,22.3,17.4,2026,0,2-комн,"Московская, Звездная, Шушары",14,"новый дом комфорт-класса, просторная кухня-гостиная, первый этаж без балкона, транспортная доступность на машине, строящийся объект, сдача скоро, двухкомнатная квартира раздельные комнаты",10150431
4,193.0,147.8,28.5,2009,1,5-комн,"Крестовский остров, Чкаловская, Спортивная",1,"современный монолитный дом, просторная кухня-гостиная, средний этаж, большая жилая площадь, в шаговой доступности от метро, дом сдан, заезжай и живи",135000000
13,350.0,200.0,60.0,2016,1,Многокомнатна,"Черная речка, Лесная, Выборгская",5,"современный монолитный дом, просторная кухня-гостиная, высокий этаж с видом на город, в шаговой доступности от метро, дом сдан, заезжай и живи",112000000
1,106.3,47.7,29.6,2022,1,3-комн,"Крестовский остров, Чкаловская, Спортивная",3,"новостройка бизнес-класса, просторная кухня-гостиная, первый этаж без балкона, в шаговой доступности от метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",38268000
5,113.7,70.4,15.0,2004,1,4-комн,"Улица Дыбенко, Проспект Большевиков, Ломоносовская",7,"улучшенная планировка, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, многокомнатная квартира тихий центр",22700000
1,42.0,21.0,12.0,2019,1,1-комн,"Крестовский остров, Василеостровская, Спортивная",6,"современный монолитный дом, кухня хорошей площади, первый этаж без балкона, рядом с метро, дом сдан, заезжай и живи, светлая однушка",20990000
3,101.6,51.9,20.9,2023,1,3-комн,"Московские ворота, Фрунзенская, Электросила",8,"новый дом комфорт-класса, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",21500000
25,87.6,55.0,11.2,2014,1,3-комн,"Проспект Просвещения, Гражданский проспект, Политехническая",6,"дом 2000-х годов в хорошем состоянии, кухня хорошей площади, высокий этаж с видом на город, рядом с метро, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",21000000
9,107.3,48.2,26.7,2005,1,3-комн,"Удельная, Озерки, Проспект Просвещения",6,"современный монолитный дом, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",22000000
2,52.9,22.1,14.7,2020,1,1-комн,"Выборгская, Площадь Ленина, Чернышевская",5,"новостройка бизнес-класса, кухня хорошей площади, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, однокомнатная с балконом",20450000
11,111.7,65.3,12.8,2003,1,4-комн,"Купчино, Дунайская, Звездная",10,"дом 2000-х годов в хорошем состоянии, кухня хорошей площади, высокий этаж с видом на город, рядом с метро, дом сдан, заезжай и живи, четырёхкомнатная квартира премиум класса",21600000
3,59.4,26.7,16.6,2020,1,2-комн,"Приморская, Василеостровская, Спортивная",7,"новый дом комфорт-класса, просторная кухня-гостиная, уютный этаж в тихом доме, рядом с метро, дом сдан, заезжай и живи, двухкомнатная квартира раздельные комнаты",22000000
2,77.8,50.1,10.0,1956,1,3-комн,"Парк Победы, Электросила, Бухарестская",5,"дореволюционный дом с высокими потолками, кухня хорошей площади, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",21990000
8,85.0,51.4,28.0,2023,1,4-комн,"Пушкинская, Звенигородская, Технологический институт",5,"новостройка бизнес-класса, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, многокомнатная квартира тихий центр",22100000
3,95.2,38.0,30.0,1934,1,3-комн,"Лесная, Выборгская, Площадь Ленина",3,"историческое здание сталинской постройки, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",22500000
7,78.0,55.8,8.9,1956,1,3-комн,"Чернышевская, Площадь Восстания, Маяковская",5,"дореволюционный дом с высокими потолками, небольшая кухня, средний этаж, большая жилая площадь, в шаговой доступности от метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",20800000
4,66.2,29.8,17.0,2023,1,2-комн,"Новочеркасская, Ладожская, Площадь Александра Невского",7,"новый дом комфорт-класса, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, просторная двухкомнатная квартира",21990000
3,59.3,37.1,6.4,1777,1,3-комн,"Гостиный двор, Чернышевская, Невский проспект",15,"старый фонд требует ремонта, небольшая кухня, средний этаж, транспортная доступность на машине, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",20990000
10,83.2,35.1,25.0,2023,1,3-комн,"Лесная, Черная речка, Выборгская",5,"новый дом комфорт-класса, просторная кухня-гостиная, высокий этаж с видом на город, в шаговой доступности от метро, дом сдан, заезжай и живи, трёшка с хорошей планировкой",22690000
4,48.6,32.6,7.2,1937,1,2-комн,"Новочеркасская, Ладожская, Площадь Александра Невского",4,"историческое здание сталинской постройки, небольшая кухня, средний этаж, большая жилая площадь, в шаговой доступности от метро, дом сдан, заезжай и живи, двушка с евроремонтом",21000000
3,116.3,86.4,20.0,1913,1,4-комн,"Василеостровская, Спортивная, Приморская",15,"дореволюционный дом с высокими потолками, просторная кухня-гостиная, средний этаж, большая жилая площадь, транспортная доступность на машине, дом сдан, заезжай и живи, четырёхкомнатная квартира премиум класса",22300000
6,68.0,35.1,11.6,1907,1,3-комн,"Площадь Александра Невского, Площадь Восстания, Маяковская",6,"историческое здание сталинской постройки, кухня хорошей площади, средний этаж, рядом с метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",21900000
12,70.2,30.0,22.4,2022,1,2-комн,"Лесная, Выборгская, Петроградская",5,"новостройка бизнес-класса, просторная кухня-гостиная, высокий этаж с видом на город, в шаговой доступности от метро, дом сдан, заезжай и живи, двушка с евроремонтом",22000000
10,59.38,35.3,10.5,2026,0,3-комн,"Политехническая, Площадь Мужества, Академическая",5,"новостройка с современной отделкой, кухня хорошей площади, высокий этаж с видом на город, в шаговой доступности от метро, строящийся объект, сдача скоро, просторная трёхкомнатная с двумя санузлами",21970600
9,60.4,33.7,12.0,2015,1,2-комн,"Фрунзенская, Технологический институт, Балтийская",3,"современный монолитный дом, кухня хорошей площади, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, просторная двухкомнатная квартира",22348000
3,96.0,71.0,8.0,1917,1,3-комн,"Технологический институт, Фрунзенская, Пушкинская",7,"дореволюционный дом с высокими потолками, небольшая кухня, средний этаж, большая жилая площадь, рядом с метро, дом сдан, заезжай и живи, трёшка с хорошей планировкой",21900000
3,48.0,21.9,15.3,2016,1,1-комн,"Площадь Ленина, Новочеркасская, Площадь Александра Невского",5,"улучшенная планировка, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",22800000
3,77.4,55.0,7.0,1891,1,3-комн,"Технологический институт, Фрунзенская, Пушкинская",7,"старый фонд требует ремонта, небольшая кухня, средний этаж, большая жилая площадь, рядом с метро, дом сдан, заезжай и живи, просторная трёхкомнатная с двумя санузлами",22000000
9,75.9,51.7,19.2,2020,1,2-комн,"Горный институт, Василеостровская, Приморская",24,"новый дом комфорт-класса, просторная кухня-гостиная, уютный этаж в тихом доме, большая жилая площадь, транспортная доступность на машине, дом сдан, заезжай и живи, просторная двухкомнатная квартира",18400000
5,42.3,17.3,11.1,2023,1,1-комн,"Крестовский остров, Спортивная, Василеостровская",5,"новостройка бизнес-класса, кухня хорошей площади, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, светлая однушка",18490000
5,86.6,60.2,10.0,1917,1,Многокомнатна,"Василеостровская, Спортивная",10,"старый фонд требует ремонта, кухня хорошей площади, уютный этаж в тихом доме, большая жилая площадь, рядом с метро, дом сдан, заезжай и живи",19450000
5,92.8,46.0,13.0,2004,1,3-комн,"Международная, Бухарестская, Волковская",7,"современный монолитный дом, кухня хорошей площади, средний этаж, рядом с метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",19000000
5,52.64,20.8,18.2,2024,1,2-комн,"Новочеркасская, Площадь Александра Невского, Ладожская",4,"новостройка с современной отделкой, просторная кухня-гостиная, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, двухкомнатная квартира раздельные комнаты",20500000
4,117.4,73.0,14.3,1904,1,4-комн,"Горьковская, Петроградская, Площадь Ленина",9,"старый фонд требует ремонта, кухня хорошей площади, средний этаж, рядом с метро, дом сдан, заезжай и живи, многокомнатная квартира тихий центр",19990000
3,62.0,27.8,21.3,2023,1,2-комн,"Пионерская, Удельная, Лесная",5,"новостройка с современной отделкой, просторная кухня-гостиная, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, двухкомнатная квартира раздельные комнаты",20500000
2,82.0,45.2,12.6,2009,1,3-комн,"Гражданский проспект, Академическая, Девяткино",6,"улучшенная планировка, кухня хорошей площади, средний этаж, рядом с метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",19999000
6,90.4,44.0,21.3,2023,1,3-комн,"Приморская, Василеостровская, Крестовский остров",7,"новостройка с современной отделкой, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, трёшка с хорошей планировкой",19888000
2,85.0,56.2,5.0,1961,1,3-комн,"Чернышевская, Новочеркасская, Площадь Александра Невского",4,"историческое здание сталинской постройки, небольшая кухня, средний этаж, большая жилая площадь, в шаговой доступности от метро, дом сдан, заезжай и живи, трёшка с хорошей планировкой",20500000
4,79.3,39.8,18.0,1859,1,3-комн,"Чернышевская, Гостиный двор, Невский проспект",15,"старый фонд требует ремонта, просторная кухня-гостиная, уютный этаж в тихом доме, транспортная доступность на машине, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",19700000
9,57.2,28.8,13.6,2023,1,2-комн,"Удельная, Площадь Мужества, Озерки",6,"новостройка бизнес-класса, кухня хорошей площади, средний этаж, рядом с метро, дом сдан, заезжай и живи, просторная двухкомнатная квартира",20330000
4,138.9,95.2,13.5,1911,1,5-комн,"Чкаловская, Петроградская, Спортивная",9,"старый фонд требует ремонта, кухня хорошей площади, уютный этаж в тихом доме, большая жилая площадь, рядом с метро, дом сдан, заезжай и живи",19900000
3,38.0,23.0,8.0,1900,1,1-комн,"Адмиралтейская, Гостиный двор, Спасская",15,"историческое здание сталинской постройки, небольшая кухня, уютный этаж в тихом доме, транспортная доступность на машине, дом сдан, заезжай и живи, светлая однушка",20000000
6,77.4,31.8,27.7,1912,1,3-комн,"Петроградская, Чкаловская, Горьковская",8,"историческое здание сталинской постройки, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",20599999
2,61.3,32.5,12.2,2017,1,2-комн,"Электросила, Московские ворота, Фрунзенская",5,"улучшенная планировка, кухня хорошей площади, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, двушка с евроремонтом",19599000
4,80.7,57.7,8.4,1955,1,3-комн,"Горный институт, Приморская, Василеостровская",6,"дореволюционный дом с высокими потолками, небольшая кухня, уютный этаж в тихом доме, большая жилая площадь, рядом с метро, дом сдан, заезжай и живи, трёшка с хорошей планировкой",18970000
8,46.5,19.7,12.7,2015,1,1-комн,"Черная речка, Лесная, Выборгская",5,"улучшенная планировка, кухня хорошей площади, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, однокомнатная с балконом",18200000
9,53.26,25.9,18.4,2025,1,2-комн,"Приморская, Василеостровская, Спортивная",9,"новостройка бизнес-класса, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, двухкомнатная квартира раздельные комнаты",20100000
9,72.9,50.0,15.0,2021,1,3-комн,"Комендантский проспект, Старая Деревня, Беговая",8,"новый дом комфорт-класса, просторная кухня-гостиная, уютный этаж в тихом доме, большая жилая площадь, рядом с метро, дом сдан, заезжай и живи, трёхкомнатная квартира для большой семьи",18900000
4,50.8,25.4,15.1,1905,1,2-комн,"Горьковская, Петроградская, Чкаловская",8,"историческое здание сталинской постройки, просторная кухня-гостиная, средний этаж, рядом с метро, дом сдан, заезжай и живи, двухкомнатная квартира раздельные комнаты",18380000
17,68.0,25.0,31.0,2009,1,2-комн,"Улица Дыбенко, Проспект Большевиков, Ладожская",6,"улучшенная планировка, просторная кухня-гостиная, высокий этаж с видом на город, рядом с метро, дом сдан, заезжай и живи, двушка с евроремонтом",18990000
12,63.0,31.0,10.4,2014,1,2-комн,"Приморская, Спортивная, Василеостровская",16,"современный монолитный дом, кухня хорошей площади, высокий этаж с видом на город, транспортная доступность на машине, дом сдан, заезжай и живи, двушка с евроремонтом",19799999
5,56.6,35.2,6.0,1961,1,3-комн,"Электросила, Парк Победы, Московские ворота",5,"историческое здание сталинской постройки, небольшая кухня, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, трёшка с хорошей планировкой",9500000
1,48.3,30.5,6.3,1967,1,2-комн,"Проспект Ветеранов, Ленинский проспект, Автово",5,"историческое здание сталинской постройки, небольшая кухня, первый этаж без балкона, в шаговой доступности от метро, дом сдан, заезжай и живи, двухкомнатная квартира раздельные комнаты",8800000
13,48.0,18.0,20.0,2018,1,1-комн,"Приморская, Василеостровская, Спортивная",8,"дом 2000-х годов в хорошем состоянии, просторная кухня-гостиная, высокий этаж с видом на город, рядом с метро, дом сдан, заезжай и живи, однокомнатная с балконом",9099000
16,33.3,15.0,10.5,2017,1,1-комн,"Комендантский проспект, Старая Деревня, Удельная",7,"современный монолитный дом, кухня хорошей площади, высокий этаж с видом на город, рядом с метро, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",9290000
4,43.6,26.4,6.1,1971,1,2-комн,"Гражданский проспект, Девяткино, Академическая",5,"старый фонд требует ремонта, небольшая кухня, средний этаж, в шаговой доступности от метро, дом сдан, заезжай и живи, двухкомнатная квартира раздельные комнаты",9500000
5,41.0,21.0,10.8,2004,1,1-комн,"Звездная, Московская, Купчино",6,"современный монолитный дом, кухня хорошей площади, средний этаж, рядом с метро, дом сдан, заезжай и живи, светлая однушка",8900000
8,34.83,13.2,14.8,2023,1,1-комн,"Лесная, Выборгская, Академическая",5,"новый дом комфорт-класса, кухня хорошей площади, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",9600000
1,77.5,48.0,6.3,1973,1,4-комн,"Проспект Ветеранов, Ленинский проспект, Автово",8,"дореволюционный дом с высокими потолками, небольшая кухня, первый этаж без балкона, рядом с метро, дом сдан, заезжай и живи, четырёхкомнатная квартира премиум класса",9290000
7,31.23,14.1,10.1,2025,1,1-комн,"Ленинский проспект, Звездная, Московская",4,"новостройка с современной отделкой, кухня хорошей площади, уютный этаж в тихом доме, в шаговой доступности от метро, дом сдан, заезжай и живи, однокомнатная квартира с хорошим ремонтом",9000000
